"population","population_year","City.Location","lat","lng"
2210875,2018,"POINT (2.35222 48.8566)","48.8566","2.35222"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
348208,2020,"POINT (-51.1862 -29.9133)","-29.9133","-51.1862"
36655,2021,"POINT (16.3484 57.9587)","57.9587","16.3484"
872497,2021,"POINT (4.89516 52.3702)","52.3702","4.89516"
NA,NA,NA,NA,NA
492681,2018,NA,NA,NA
82094,2016,NA,NA,NA
61015,2019,"POINT (-7.93044 37.0194)","37.0194","-7.93044"
28352,2008,"POINT (12.6196 43.0707)","43.0707","12.6196"
9003,2021,"POINT (-106.837 39.195)","39.195","-106.837"
151950,2019,NA,NA,NA
NA,NA,NA,NA,NA
2320268,2019,"POINT (-95.3694 29.7602)","29.7602","-95.3694"
NA,NA,NA,NA,NA
142000,2018,"POINT (-70.6092 -33.4313)","-33.4313","-70.6092"
460600,2019,"POINT (34.7823 32.0816)","32.0816","34.7823"
1155678,2020,"POINT (29.3599 -3.36137)","-3.36137","29.3599"
604378,2019,NA,NA,NA
547757,2021,"POINT (4.3007 52.0705)","52.0705","4.3007"
215144,2016,NA,NA,NA
276719,2016,NA,NA,NA
303536,2018,NA,NA,NA
282600,2018,NA,NA,NA
156500,2019,"POINT (-105.081 39.7047)","39.7047","-105.081"
61015,2019,"POINT (-7.93044 37.0194)","37.0194","-7.93044"
332500,2020,NA,NA,NA
12205,2019,NA,NA,NA
583056,2020,NA,NA,NA
1664182,2020,"POINT (2.1775 41.3823)","41.3823","2.1775"
349842,2021,"POINT (36.9218 -17.8503)","-17.8503","36.9218"
301048,2018,"POINT (-79.9959 40.4406)","40.4406","-79.9959"
5209,2010,NA,NA,NA
102026,2019,"POINT (41.6754 -86.2532)","-86.2532","41.6754"
43559,2018,"POINT (-70.8967 42.5195)","42.5195","-70.8967"
5685807,2020,"POINT (103.82 1.35208)","1.35208","103.82"
NA,NA,"POINT (-92.2896 34.7465)","34.7465","-92.2896"
22885,2018,NA,NA,NA
11936010,2020,NA,NA,NA
NA,NA,NA,NA,NA
37113,2010,"POINT (-80.1484 25.9812)","25.9812","-80.1484"
143222,2020,NA,NA,NA
276744,2018,NA,NA,NA
49000,2018,NA,NA,NA
NA,NA,NA,NA,NA
604378,2019,NA,NA,NA
209533,2020,NA,NA,NA
1006211,2019,"POINT (-75.6972 45.4215)","45.4215","-75.6972"
230998,2020,NA,NA,NA
1005687,2016,NA,NA,NA
21071,2021,NA,NA,NA
201013,2019,NA,NA,NA
216279,2018,"POINT (-122.444 47.2529)","47.2529","-122.444"
9003,2021,"POINT (-106.837 39.195)","39.195","-106.837"
41047,2021,"POINT (12.4058 55.9747)","55.9747","12.4058"
NA,NA,NA,NA,NA
5652000,2016,"POINT (-27 11)","11","-27"
190529,2019,NA,NA,NA
499210,2015,"POINT (-77.0051 -12.1453)","-12.1453","-77.0051"
381009,2019,"POINT (-81.6944 41.4993)","41.4993","-81.6944"
NA,NA,NA,NA,NA
2446144,2020,NA,NA,NA
NA,NA,NA,NA,NA
2239191,2010,"POINT (-78.5167 -0.2333)","-0.2333","-78.5167"
8420887,2016,"POINT (100.556 13.7712)","13.7712","100.556"
79990,2020,"POINT (9.3767 47.4245)","47.4245","9.3767"
133262,2021,"POINT (-21.8174 64.1265)","64.1265","-21.8174"
102026,2019,"POINT (41.6754 -86.2532)","-86.2532","41.6754"
22885,2018,NA,NA,NA
1047871,2019,"POINT (-121.886 37.3382)","37.3382","-121.886"
210440,2017,"POINT (11.8768 45.4064)","45.4064","11.8768"
124798,2019,"POINT (0.16353 52.2077)","52.2077","0.16353"
38100,2019,"POINT (7.42081 43.7374)","43.7374","7.42081"
136235,2018,NA,NA,NA
72000,2021,NA,NA,NA
37094,2021,"POINT (9.2981 45.492)","45.492","9.2981"
215144,2016,NA,NA,NA
549883,2020,NA,NA,NA
NA,NA,NA,NA,NA
90107,NA,"POINT (10.6174 43.8399)","43.8399","10.6174"
57469,2021,NA,NA,NA
38638,2018,"POINT (9.54153 57.1453)","57.1453","9.54153"
NA,NA,NA,NA,NA
1793579,2020,"POINT (21.0122 52.2297)","52.2297","21.0122"
197442,2018,NA,NA,NA
42284,2015,"POINT (-73.2121 44.4759)","44.4759","-73.2121"
