"actor_id","emissions_id","year","total_emissions","datasource_id"
"CR BLN","CDPCitiesTargets:2021:base:CR BLN",2017,130641.43,"CDPCitiesTargets:2021"
"CR BLN","CDPCitiesTargets:2021:target:CR BLN",2021,117577.287,"CDPCitiesTargets:2021"
"BR CPS","CDPCitiesTargets:2021:base:BR CPS",2016,2663901.43,"CDPCitiesTargets:2021"
"BR CPS","CDPCitiesTargets:2021:target:BR CPS",2040,2237677.2012,"CDPCitiesTargets:2021"
"TR AYT","CDPCitiesTargets:2021:base:TR AYT",2019,8232919,"CDPCitiesTargets:2021"
"TR AYT","CDPCitiesTargets:2021:BAU:TR AYT",2030,7886537,"CDPCitiesTargets:2021"
"GB BRS","CDPCitiesTargets:2021:base:GB BRS",2005,2605000,"CDPCitiesTargets:2021"
"GB BRS","CDPCitiesTargets:2021:target:GB BRS",2020,1563000,"CDPCitiesTargets:2021"
"BR REC","CDPCitiesTargets:2021:target:BR REC",2050,0,"CDPCitiesTargets:2021"
"DK HLS","CDPCitiesTargets:2021:base:DK HLS",2008,415408,"CDPCitiesTargets:2021"
"DK HLS","CDPCitiesTargets:2021:target:DK HLS",2030,249244.8,"CDPCitiesTargets:2021"
"JP KUA","CDPCitiesTargets:2021:base:JP KUA",2013,34518526,"CDPCitiesTargets:2021"
"JP KUA","CDPCitiesTargets:2021:target:JP KUA",2030,30524732.5418,"CDPCitiesTargets:2021"
"IT MIL","CDPCitiesTargets:2021:base:IT MIL",2005,7418000,"CDPCitiesTargets:2021"
"IT MIL","CDPCitiesTargets:2021:target:IT MIL",2020,5934400,"CDPCitiesTargets:2021"
"IT MIL","CDPCitiesTargets:2021:base:IT MIL",2005,7418000,"CDPCitiesTargets:2021"
"IT MIL","CDPCitiesTargets:2021:target:IT MIL",2020,5934400,"CDPCitiesTargets:2021"
"NO TRD","CDPCitiesTargets:2021:base:NO TRD",2009,541000,"CDPCitiesTargets:2021"
"NO TRD","CDPCitiesTargets:2021:target:NO TRD",2023,378700,"CDPCitiesTargets:2021"
"AR SJO","CDPCitiesTargets:2021:base:AR SJO",2016,104728.61,"CDPCitiesTargets:2021"
"AR SJO","CDPCitiesTargets:2021:BAU:AR SJO",2030,139546.3,"CDPCitiesTargets:2021"
"IT PMF","CDPCitiesTargets:2021:base:IT PMF",2004,1121130,"CDPCitiesTargets:2021"
"IT PMF","CDPCitiesTargets:2021:target:IT PMF",2030,605410.2,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:base:CO ENV",2018,29249,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:BAU:CO ENV",2050,311027,"CDPCitiesTargets:2021"
"AR SAO","CDPCitiesTargets:2021:base:AR SAO",2018,86709.31,"CDPCitiesTargets:2021"
"AR SAO","CDPCitiesTargets:2021:BAU:AR SAO",2030,119001.24,"CDPCitiesTargets:2021"
"EC CUE","CDPCitiesTargets:2021:base:EC CUE",2019,134010,"CDPCitiesTargets:2021"
"EC CUE","CDPCitiesTargets:2021:target:EC CUE",2023,107208,"CDPCitiesTargets:2021"
"JP MUH","CDPCitiesTargets:2021:base:JP MUH",2013,656000,"CDPCitiesTargets:2021"
"JP MUH","CDPCitiesTargets:2021:target:JP MUH",2030,484784,"CDPCitiesTargets:2021"
"GB EDI","CDPCitiesTargets:2021:target:GB EDI",2030,0,"CDPCitiesTargets:2021"
"MX ZAP","CDPCitiesTargets:2021:base:MX ZAP",2016,605896,"CDPCitiesTargets:2021"
"MX ZAP","CDPCitiesTargets:2021:BAU:MX ZAP",2030,772774,"CDPCitiesTargets:2021"
"MY KUL","CDPCitiesTargets:2021:base:MY KUL",2010,25427,"CDPCitiesTargets:2021"
"MY KUL","CDPCitiesTargets:2021:target:MY KUL",2050,0,"CDPCitiesTargets:2021"
